Vict Sex,Vict Descent,DATE OCC,AREA NAME,Vict Age,Vict Descent Desc,Vict Sex Desc,AREA RENT
1.0,0,2021-10-23,Hollenbeck,2.0,Black,Male,1263.48
0.0,4,2021-07-25,Pacific,39.5674100496031,Unknown,Unknown,551.25
1.0,3,2020-10-19,Van Nuys,61.0,White,Male,942.82
1.0,1,2022-03-12,Pacific,45.0,Hispanic/Latin/Mexican,Male,551.25
2.0,2,2022-05-07,West LA,53.0,Other,Female,1039.46
1.0,3,2021-10-03,Foothill,71.0,White,Male,1326.65
2.0,1,2022-07-01,Mission,24.0,Hispanic/Latin/Mexican,Female,1091.44
1.0,1,2021-07-01,Newton,38.0,Hispanic/Latin/Mexican,Male,638.14
1.0,0,2021-08-18,Central,23.0,Black,Male,525.0
2.0,3,2020-01-29,Pacific,63.0,White,Female,551.25
