Vict Sex,Vict Descent,DATE OCC,AREA NAME,Vict Age,Vict Descent Desc,Vict Sex Desc,AREA RENT
2.0,0,2021-04-04,77th Street,40.0,Black,Female,500.0
1.0,3,2022-10-28,Hollywood,62.0,White,Male,578.81
1.0,0,2021-05-28,Harbor,67.0,Black,Male,855.17
1.0,0,2021-09-06,77th Street,59.0,Black,Male,500.0
0.0,4,2020-04-21,Harbor,39.5674100496031,Unknown,Unknown,855.17
1.0,1,2021-05-10,Harbor,45.0,Hispanic/Latin/Mexican,Male,855.17
0.0,4,2021-09-16,Harbor,39.5674100496031,Unknown,Unknown,855.17
1.0,1,2021-03-22,Wilshire,30.0,Hispanic/Latin/Mexican,Male,738.73
1.0,3,2022-04-11,Pacific,29.0,White,Male,551.25
1.0,1,2021-12-02,Southwest,37.0,Hispanic/Latin/Mexican,Male,607.75
1.0,1,2021-12-04,Pacific,25.0,Hispanic/Latin/Mexican,Male,551.25
0.0,4,2020-04-15,Pacific,39.5674100496031,Unknown,Unknown,551.25
2.0,0,2020-04-01,Newton,37.0,Black,Female,638.14
1.0,2,2021-06-11,West Valley,44.0,Other,Male,814.45
1.0,1,2021-06-19,Northeast,57.0,Hispanic/Latin/Mexican,Male,989.97
1.0,1,2022-10-05,Van Nuys,34.0,Hispanic/Latin/Mexican,Male,942.82
0.0,4,2020-09-15,West LA,39.5674100496031,Unknown,Unknown,1039.46
1.0,0,2022-02-14,Southwest,22.0,Black,Male,607.75
2.0,0,2020-11-12,77th Street,29.0,Black,Female,500.0
2.0,3,2022-12-22,Pacific,34.0,White,Female,551.25
0.0,4,2020-05-16,Rampart,39.5674100496031,Unknown,Unknown,775.66
0.0,4,2020-01-09,Harbor,39.5674100496031,Unknown,Unknown,855.17
1.0,2,2020-11-24,Van Nuys,56.0,Other,Male,942.82
0.0,4,2020-05-11,Northeast,39.5674100496031,Unknown,Unknown,989.97
2.0,1,2021-10-02,Hollenbeck,24.0,Hispanic/Latin/Mexican,Female,1263.48
2.0,3,2021-11-20,West Valley,67.0,White,Female,814.45
2.0,2,2020-06-03,Mission,35.0,Other,Female,1091.44
1.0,1,2022-07-25,Pacific,63.0,Hispanic/Latin/Mexican,Male,551.25
0.0,4,2020-12-13,Southeast,39.5674100496031,Unknown,Unknown,703.55
2.0,3,2022-10-23,Pacific,34.0,White,Female,551.25
0.0,4,2022-05-11,Foothill,39.5674100496031,Unknown,Unknown,1326.65
2.0,3,2022-03-24,Foothill,62.0,White,Female,1326.65
1.0,3,2021-12-11,Rampart,44.0,White,Male,775.66
0.0,4,2022-07-02,Olympic,39.5674100496031,Unknown,Unknown,897.93
1.0,2,2020-02-18,Hollywood,37.0,Other,Male,578.81
1.0,3,2022-12-28,West LA,65.0,White,Male,1039.46
0.0,4,2022-07-13,77th Street,39.5674100496031,Unknown,Unknown,500.0
1.0,1,2020-03-13,Mission,48.0,Hispanic/Latin/Mexican,Male,1091.44
0.0,4,2020-07-15,Central,39.5674100496031,Unknown,Unknown,525.0
1.0,3,2021-01-23,Van Nuys,58.0,White,Male,942.82
0.0,4,2020-02-07,Southwest,39.5674100496031,Unknown,Unknown,607.75
0.0,4,2021-02-05,Van Nuys,39.5674100496031,Unknown,Unknown,942.82
2.0,2,2022-07-16,Foothill,58.0,Other,Female,1326.65
0.0,4,2020-06-13,Harbor,39.5674100496031,Unknown,Unknown,855.17
1.0,2,2022-10-15,Hollywood,30.0,Other,Male,578.81
0.0,4,2020-05-17,Pacific,39.5674100496031,Unknown,Unknown,551.25
1.0,2,2020-08-05,West Valley,49.0,Other,Male,814.45
2.0,3,2021-01-09,Topanga,41.0,White,Female,1203.31
1.0,3,2022-05-17,West LA,36.0,White,Male,1039.46
0.0,4,2022-07-21,Hollywood,39.5674100496031,Unknown,Unknown,578.81
1.0,0,2021-01-01,Newton,32.0,Black,Male,638.14
2.0,2,2020-06-11,Central,37.0,Other,Female,525.0
2.0,1,2022-04-12,N Hollywood,28.0,Hispanic/Latin/Mexican,Female,670.05
1.0,1,2020-09-03,Southeast,22.0,Hispanic/Latin/Mexican,Male,703.55
1.0,2,2022-11-12,Northeast,59.0,Other,Male,989.97
2.0,1,2022-03-10,Pacific,38.0,Hispanic/Latin/Mexican,Female,551.25
1.0,3,2020-01-21,N Hollywood,30.0,White,Male,670.05
2.0,1,2022-12-24,77th Street,50.0,Hispanic/Latin/Mexican,Female,500.0
0.0,4,2022-12-07,Olympic,21.0,Unknown,Unknown,897.93
2.0,1,2020-01-27,Hollywood,26.0,Hispanic/Latin/Mexican,Female,578.81
2.0,1,2021-12-04,Wilshire,24.0,Hispanic/Latin/Mexican,Female,738.73
2.0,1,2022-12-01,77th Street,23.0,Hispanic/Latin/Mexican,Female,500.0
1.0,1,2021-02-27,Rampart,23.0,Hispanic/Latin/Mexican,Male,775.66
1.0,3,2022-03-01,Devonshire,37.0,White,Male,1146.01
0.0,4,2020-09-21,Pacific,39.5674100496031,Unknown,Unknown,551.25
2.0,1,2021-10-25,Hollenbeck,26.0,Hispanic/Latin/Mexican,Female,1263.48
1.0,1,2022-02-22,Newton,33.0,Hispanic/Latin/Mexican,Male,638.14
2.0,1,2021-12-18,Topanga,20.0,Hispanic/Latin/Mexican,Female,1203.31
1.0,4,2020-06-17,Topanga,19.0,Unknown,Male,1203.31
2.0,1,2021-12-07,Newton,30.0,Hispanic/Latin/Mexican,Female,638.14
1.0,1,2020-01-29,Newton,39.5674100496031,Hispanic/Latin/Mexican,Male,638.14
0.0,4,2021-06-24,Rampart,39.5674100496031,Unknown,Unknown,775.66
1.0,1,2020-07-20,Hollenbeck,22.0,Hispanic/Latin/Mexican,Male,1263.48
2.0,1,2022-10-29,77th Street,18.0,Hispanic/Latin/Mexican,Female,500.0
1.0,1,2020-01-21,West Valley,31.0,Hispanic/Latin/Mexican,Male,814.45
0.0,4,2020-07-29,77th Street,39.5674100496031,Unknown,Unknown,500.0
2.0,1,2022-12-04,Harbor,40.0,Hispanic/Latin/Mexican,Female,855.17
2.0,1,2021-07-08,Southwest,29.0,Hispanic/Latin/Mexican,Female,607.75
1.0,3,2020-03-20,Hollenbeck,41.0,White,Male,1263.48
1.0,0,2022-07-04,West Valley,20.0,Black,Male,814.45
2.0,1,2021-01-08,Rampart,18.0,Hispanic/Latin/Mexican,Female,775.66
1.0,3,2022-08-11,Foothill,51.0,White,Male,1326.65
1.0,3,2020-06-27,Topanga,50.0,White,Male,1203.31
2.0,0,2020-11-16,Topanga,70.0,Black,Female,1203.31
1.0,1,2022-09-22,Central,23.0,Hispanic/Latin/Mexican,Male,525.0
0.0,4,2022-12-24,Olympic,39.5674100496031,Unknown,Unknown,897.93
1.0,2,2021-12-07,Foothill,39.5674100496031,Other,Male,1326.65
1.0,2,2022-04-06,N Hollywood,75.0,Other,Male,670.05
2.0,1,2020-06-26,Topanga,26.0,Hispanic/Latin/Mexican,Female,1203.31
1.0,3,2020-02-02,West Valley,58.0,White,Male,814.45
1.0,3,2020-08-04,Rampart,39.5674100496031,White,Male,775.66
0.0,4,2021-11-05,77th Street,39.5674100496031,Unknown,Unknown,500.0
1.0,3,2020-10-27,Harbor,20.0,White,Male,855.17
0.0,4,2020-07-31,Rampart,39.5674100496031,Unknown,Unknown,775.66
2.0,3,2022-04-18,N Hollywood,46.0,White,Female,670.05
2.0,3,2022-11-23,Hollywood,78.0,White,Female,578.81
2.0,0,2021-03-03,Southeast,14.0,Black,Female,703.55
2.0,1,2020-07-01,Central,54.0,Hispanic/Latin/Mexican,Female,525.0
2.0,0,2021-08-19,Harbor,41.0,Black,Female,855.17
2.0,3,2022-07-16,N Hollywood,69.0,White,Female,670.05
2.0,1,2020-01-26,Mission,46.0,Hispanic/Latin/Mexican,Female,1091.44
1.0,1,2021-04-20,Hollenbeck,35.0,Hispanic/Latin/Mexican,Male,1263.48
2.0,1,2022-09-14,Southeast,20.0,Hispanic/Latin/Mexican,Female,703.55
2.0,1,2022-04-07,Mission,24.0,Hispanic/Latin/Mexican,Female,1091.44
2.0,1,2022-11-21,Pacific,34.0,Hispanic/Latin/Mexican,Female,551.25
1.0,1,2020-10-18,Mission,45.0,Hispanic/Latin/Mexican,Male,1091.44
0.0,4,2022-07-09,Northeast,39.5674100496031,Unknown,Unknown,989.97
1.0,1,2021-11-09,Southwest,37.0,Hispanic/Latin/Mexican,Male,607.75
2.0,0,2022-02-04,Wilshire,39.0,Black,Female,738.73
2.0,0,2022-02-02,77th Street,53.0,Black,Female,500.0
2.0,0,2021-01-07,Southeast,70.0,Black,Female,703.55
1.0,2,2021-11-18,N Hollywood,34.0,Other,Male,670.05
1.0,3,2021-06-04,West Valley,39.5674100496031,White,Male,814.45
0.0,4,2021-11-27,Newton,39.5674100496031,Unknown,Unknown,638.14
0.0,4,2020-01-20,Mission,39.5674100496031,Unknown,Unknown,1091.44
2.0,1,2021-09-19,West Valley,39.0,Hispanic/Latin/Mexican,Female,814.45
1.0,3,2020-01-09,Northeast,66.0,White,Male,989.97
2.0,1,2021-04-29,Newton,30.0,Hispanic/Latin/Mexican,Female,638.14
1.0,3,2022-11-22,Wilshire,64.0,White,Male,738.73
1.0,1,2021-06-29,West LA,55.0,Hispanic/Latin/Mexican,Male,1039.46
1.0,0,2020-08-30,Newton,19.0,Black,Male,638.14
1.0,3,2021-12-17,Central,38.0,White,Male,525.0
1.0,1,2022-06-04,N Hollywood,15.0,Hispanic/Latin/Mexican,Male,670.05
1.0,3,2021-03-20,Pacific,54.0,White,Male,551.25
1.0,2,2022-08-21,Van Nuys,68.0,Other,Male,942.82
2.0,3,2020-06-17,Northeast,64.0,White,Female,989.97
1.0,1,2022-06-01,77th Street,38.0,Hispanic/Latin/Mexican,Male,500.0
1.0,0,2020-03-25,77th Street,23.0,Black,Male,500.0
2.0,1,2020-08-01,Southwest,59.0,Hispanic/Latin/Mexican,Female,607.75
0.0,4,2021-09-01,Devonshire,39.5674100496031,Unknown,Unknown,1146.01
1.0,3,2022-01-20,Hollywood,34.0,White,Male,578.81
0.0,4,2021-02-14,Southwest,39.5674100496031,Unknown,Unknown,607.75
2.0,0,2021-08-14,77th Street,35.0,Black,Female,500.0
1.0,1,2020-10-11,Central,26.0,Hispanic/Latin/Mexican,Male,525.0
2.0,1,2022-09-22,77th Street,24.0,Hispanic/Latin/Mexican,Female,500.0
2.0,1,2022-02-02,Hollenbeck,57.0,Hispanic/Latin/Mexican,Female,1263.48
1.0,1,2021-07-22,Mission,67.0,Hispanic/Latin/Mexican,Male,1091.44
2.0,3,2021-08-23,Mission,60.0,White,Female,1091.44
2.0,1,2021-05-29,Devonshire,53.0,Hispanic/Latin/Mexican,Female,1146.01
1.0,2,2021-06-02,West Valley,40.0,Other,Male,814.45
1.0,1,2022-02-01,Harbor,25.0,Hispanic/Latin/Mexican,Male,855.17
1.0,3,2020-07-11,Hollywood,32.0,White,Male,578.81
0.0,4,2022-09-13,77th Street,39.5674100496031,Unknown,Unknown,500.0
2.0,2,2022-09-29,Topanga,64.0,Other,Female,1203.31
2.0,3,2022-03-27,Hollywood,29.0,White,Female,578.81
1.0,2,2020-10-04,West Valley,62.0,Other,Male,814.45
1.0,2,2020-11-19,West LA,37.0,Other,Male,1039.46
1.0,1,2022-08-02,Harbor,39.5674100496031,Hispanic/Latin/Mexican,Male,855.17
0.0,4,2022-06-12,Harbor,39.5674100496031,Unknown,Unknown,855.17
2.0,1,2020-05-02,West LA,46.0,Hispanic/Latin/Mexican,Female,1039.46
1.0,3,2021-11-05,West Valley,39.5674100496031,White,Male,814.45
1.0,3,2020-08-26,Wilshire,48.0,White,Male,738.73
1.0,1,2020-07-28,West Valley,45.0,Hispanic/Latin/Mexican,Male,814.45
1.0,3,2021-07-16,West Valley,53.0,White,Male,814.45
1.0,3,2021-03-07,Olympic,63.0,White,Male,897.93
1.0,0,2021-01-29,Southeast,29.0,Black,Male,703.55
1.0,4,2022-01-16,Topanga,35.0,Unknown,Male,1203.31
1.0,3,2020-05-02,Rampart,54.0,White,Male,775.66
2.0,1,2021-06-26,Southeast,52.0,Hispanic/Latin/Mexican,Female,703.55
2.0,1,2020-02-02,Olympic,35.0,Hispanic/Latin/Mexican,Female,897.93
2.0,1,2020-02-13,Mission,64.0,Hispanic/Latin/Mexican,Female,1091.44
1.0,0,2022-02-07,Central,33.0,Black,Male,525.0
1.0,1,2022-03-17,Central,45.0,Hispanic/Latin/Mexican,Male,525.0
0.0,4,2021-01-07,Mission,39.5674100496031,Unknown,Unknown,1091.44
2.0,1,2020-12-01,Southeast,51.0,Hispanic/Latin/Mexican,Female,703.55
1.0,3,2020-11-04,Mission,48.0,White,Male,1091.44
2.0,0,2021-06-19,Southeast,42.0,Black,Female,703.55
0.0,4,2022-03-28,Central,39.5674100496031,Unknown,Unknown,525.0
0.0,4,2021-09-29,Newton,39.5674100496031,Unknown,Unknown,638.14
2.0,3,2020-10-21,Northeast,35.0,White,Female,989.97
2.0,1,2021-12-20,Olympic,23.0,Hispanic/Latin/Mexican,Female,897.93
1.0,1,2021-08-14,West Valley,28.0,Hispanic/Latin/Mexican,Male,814.45
2.0,1,2021-07-26,Hollywood,14.0,Hispanic/Latin/Mexican,Female,578.81
2.0,1,2020-11-27,Hollenbeck,46.0,Hispanic/Latin/Mexican,Female,1263.48
1.0,3,2022-04-30,West LA,53.0,White,Male,1039.46
1.0,1,2021-10-31,Newton,47.0,Hispanic/Latin/Mexican,Male,638.14
0.0,4,2022-06-08,Olympic,39.5674100496031,Unknown,Unknown,897.93
1.0,1,2022-09-22,Rampart,52.0,Hispanic/Latin/Mexican,Male,775.66
2.0,0,2022-12-02,Southeast,36.0,Black,Female,703.55
1.0,1,2020-05-15,Van Nuys,42.0,Hispanic/Latin/Mexican,Male,942.82
1.0,1,2020-04-18,Rampart,39.0,Hispanic/Latin/Mexican,Male,775.66
2.0,1,2022-03-19,Central,45.0,Hispanic/Latin/Mexican,Female,525.0
2.0,0,2021-11-06,Southeast,46.0,Black,Female,703.55
0.0,4,2022-01-24,Southeast,39.5674100496031,Unknown,Unknown,703.55
2.0,1,2022-05-25,Devonshire,17.0,Hispanic/Latin/Mexican,Female,1146.01
0.0,4,2022-06-03,Northeast,39.5674100496031,Unknown,Unknown,989.97
2.0,1,2021-10-12,N Hollywood,17.0,Hispanic/Latin/Mexican,Female,670.05
0.0,4,2020-07-14,Pacific,39.5674100496031,Unknown,Unknown,551.25
1.0,1,2022-10-20,Wilshire,37.0,Hispanic/Latin/Mexican,Male,738.73
0.0,4,2022-08-15,Central,39.5674100496031,Unknown,Unknown,525.0
2.0,2,2022-09-09,Devonshire,14.0,Other,Female,1146.01
1.0,1,2022-09-25,Mission,24.0,Hispanic/Latin/Mexican,Male,1091.44
2.0,0,2021-09-28,Southwest,66.0,Black,Female,607.75
1.0,1,2021-11-11,Mission,17.0,Hispanic/Latin/Mexican,Male,1091.44
2.0,1,2022-12-14,N Hollywood,43.0,Hispanic/Latin/Mexican,Female,670.05
2.0,1,2021-10-22,Hollenbeck,46.0,Hispanic/Latin/Mexican,Female,1263.48
0.0,4,2022-03-07,Pacific,39.5674100496031,Unknown,Unknown,551.25
1.0,1,2021-02-17,Central,27.0,Hispanic/Latin/Mexican,Male,525.0
1.0,3,2020-01-10,Pacific,56.0,White,Male,551.25
0.0,4,2022-01-04,Northeast,39.5674100496031,Unknown,Unknown,989.97
1.0,1,2021-12-27,Southeast,44.0,Hispanic/Latin/Mexican,Male,703.55
2.0,1,2022-06-06,Hollywood,49.0,Hispanic/Latin/Mexican,Female,578.81
1.0,3,2020-07-27,West LA,67.0,White,Male,1039.46
1.0,2,2020-06-19,Van Nuys,54.0,Other,Male,942.82
1.0,0,2020-10-01,Southeast,23.0,Black,Male,703.55
2.0,1,2022-09-10,Southeast,43.0,Hispanic/Latin/Mexican,Female,703.55
1.0,1,2020-12-22,N Hollywood,25.0,Hispanic/Latin/Mexican,Male,670.05
0.0,4,2022-08-21,Wilshire,39.5674100496031,Unknown,Unknown,738.73
1.0,2,2022-07-11,Southeast,36.0,Other,Male,703.55
1.0,0,2021-02-06,77th Street,32.0,Black,Male,500.0
1.0,3,2022-03-25,Van Nuys,73.0,White,Male,942.82
0.0,4,2021-11-20,Pacific,39.5674100496031,Unknown,Unknown,551.25
0.0,4,2021-03-05,77th Street,39.5674100496031,Unknown,Unknown,500.0
0.0,4,2022-07-28,Central,39.5674100496031,Unknown,Unknown,525.0
1.0,1,2021-09-24,Hollenbeck,60.0,Hispanic/Latin/Mexican,Male,1263.48
2.0,0,2022-05-30,Wilshire,23.0,Black,Female,738.73
0.0,4,2020-11-09,Harbor,39.5674100496031,Unknown,Unknown,855.17
0.0,4,2022-01-26,Devonshire,39.5674100496031,Unknown,Unknown,1146.01
